date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto
2010-01-03,282.4946695596792,133.3527329159083,286.6973700867296,280.3722563450744,138.47690124407342,326.77034141638876,184.54813286676307,353.1440767272558,324.6457115114447,273.38673192818715
2010-01-04,283.5135777612241,148.23101005390225,285.3951197699028,281.63044668262444,138.2885711023479,326.97607455928534,184.5665163851731,353.1713053026578,324.675957942916,273.422642075359
2010-01-05,284.5325324050264,162.8350514401797,284.04806923952026,282.88861249249965,138.08681908217852,327.18312168298655,184.58308470105732,353.1992768187262,324.70654092638455,273.45844963352135
2010-01-06,285.5515429224361,177.09380473698013,282.7005818554551,284.14676363606236,137.8717764592891,327.3914678985746,184.59783911834847,353.22799393058716,324.7374620789129,273.4941546535044
2010-01-07,286.570613937133,190.9749954036457,281.3954880434467,285.4049076151947,137.64361155463627,327.60109843255344,184.61078206667958,353.25745969752086,324.7687234364999,273.5297576199129
2010-01-08,287.5897432489452,204.47921655213256,280.17117962344287,286.66304738824044,137.40252992623647,327.811995988045,184.6219148585448,353.2876750329783,324.80032495571044,273.5652570090731
2010-01-09,288.60892146398754,217.63076511406263,279.05947548123453,287.92118066377634,137.14877472868824,328.02413954152945,184.6312366919667,353.3186375008868,324.83226335088136,273.60064817002973
2010-01-10,289.6281327534963,230.4681596682137,278.08447471274474,289.1793002775385,136.88262733184465,328.2375042808231,184.63874465782797,353.35034120230114,324.8645320094667,273.63592327022917
2010-01-11,290.6473561340493,243.0361779197384,277.2623770156423,290.4373951157632,136.6044080313527,328.45206218436437,184.64443430925712,353.38277728288506,324.8971215180955,273.6710718411229
2010-01-12,291.66656686453496,255.38019698837894,276.60207340137725,291.6954512044646,136.31447666230332,328.6677828562098,184.64830044893162,353.4159346930636,324.93002043429135,273.7060815621401
2010-01-13,292.6857377865432,267.54291106451944,276.1062291596856,292.9534527877667,136.01323298822518,328.8846344169521,184.65033795658618,353.4498010077085,324.9632161133099,273.7409390952777
2010-01-14,293.7048405714977,279.56313007171906,275.7725866010423,294.2113833448067,135.70111678644056,329.10258437600015,184.65054258961038,353.48436323115135,324.9966955174563,273.77563089928344
2010-01-15,294.723846853531,291.4762118591529,275.59527391319153,295.46922651161174,135.37860754848302,329.32160043454195,184.6489117058998,353.51960853501646,325.03044595601443,273.8101439721838
2010-01-16,295.7427292002694,303.3156360284327,275.5659828921833,296.7269668538992,135.04622371223437,329.54165115696304,184.64544484499316,353.5555248653193,325.06445569233324,273.8444664587657
2010-01-17,296.76146186773803,315.1152301633088,275.67494767686145,297.9845904374622,134.70452137623337,329.7627064561446,184.64014411335248,353.5921013645831,325.0987143637973,273.8785880687017
