date,sun_moon_tension,sun_mercury_tension,sun_venus_tension,sun_mars_tension,sun_jupiter_tension,sun_saturn_tension,sun_uranus_tension,sun_neptune_tension,sun_pluto_tension,moon_mercury_tension,moon_venus_tension,moon_mars_tension,moon_jupiter_tension,moon_saturn_tension,moon_uranus_tension,moon_neptune_tension,moon_pluto_tension,mercury_venus_tension,mercury_mars_tension,mercury_jupiter_tension,mercury_saturn_tension,mercury_uranus_tension,mercury_neptune_tension,mercury_pluto_tension,venus_mars_tension,venus_jupiter_tension,venus_saturn_tension,venus_uranus_tension,venus_neptune_tension,venus_pluto_tension,mars_jupiter_tension,mars_saturn_tension,mars_uranus_tension,mars_neptune_tension,mars_pluto_tension,jupiter_saturn_tension,jupiter_uranus_tension,jupiter_neptune_tension,jupiter_pluto_tension,saturn_uranus_tension,saturn_neptune_tension,saturn_pluto_tension,uranus_neptune_tension,uranus_pluto_tension,neptune_pluto_tension,global_tension
1990-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7091,0.0,0.0,0.0,0.2469,0.2149,0.6635,0.0,0.0,0.0,0.2958,0.0,0.0,0.0,0.7713,0.0,0.0,0.0,0.0,0.0,0.5624,0.0,0.0,0.0,0.3544,0.5159,0.3372,0.0,0.0,3.24
1990-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0.0,0.3829,0.0,0.0,0.0,0.0,0.0,0.3207,0.1401,0.5978,0.0278,0.0,0.0,0.3459,0.0,0.0,0.0,0.901,0.0,0.0279,0.0,0.0,0.0,0.5337,0.0,0.0,0.0,0.342,0.4977,0.3399,0.0,0.0,3.15
1990-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342,0.0,0.1003,0.0,0.0,0.3621,0.0,0.0,0.2141,0.0046,0.0,0.0,0.4009,0.0593,0.527,0.1109,0.0,0.0,0.3927,0.0,0.0,0.0,1.0303,0.0,0.1178,0.0,0.0,0.0,0.5056,0.0,0.0,0.0,0.3296,0.4794,0.3427,0.0,0.0,3.48
1990-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.7678,1.0622,0.0,1.0265,0.0,0.0,0.0679,0.0,0.0,0.4871,0.0,0.4515,0.1994,0.0,0.0,0.4362,0.0,0.0,0.0,1.1593,0.0,0.2077,0.0,0.0,0.0,0.4782,0.0,0.0,0.0,0.3172,0.4612,0.3453,0.0,0.0,5.35
1990-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4358,0.748,0.4682,0.0,0.0,1.6374,0.0,0.4785,0.8383,0.1319,0.0,0.0,0.5786,0.0,0.3717,0.2928,0.0,0.0,0.476,0.0,0.0,0.0,1.2862,0.0,0.2978,0.0,0.0,0.0,0.4515,0.0,0.0,0.0,0.3048,0.4429,0.348,0.0,0.0,6.66
1990-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6367,0.0,0.0,0.2539,0.3472,0.0,0.0622,0.0,0.0,0.1962,0.0,0.0,0.6751,0.0,0.2879,0.3772,0.0,0.0,0.5123,0.0,0.0,0.0,1.158,0.0,0.388,0.0,0.0,0.0,0.4254,0.0,0.0,0.0,0.2925,0.4246,0.3506,0.0,0.0,4.44
1990-02-03,0.7512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8377,0.1295,0.0383,0.0,0.0,0.2062,0.0,0.1124,1.5509,0.2607,0.0,0.0,0.776,0.0,0.2007,0.2752,0.0,0.0,0.5448,0.0,0.0,0.0157,1.0302,0.0,0.4784,0.0,0.0,0.0,0.4001,0.0,0.0,0.0,0.2802,0.4062,0.3532,0.0,0.0,6.01
1990-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0387,0.0,0.0,0.0395,0.0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,0.799,0.0,0.1101,0.1694,0.0,0.0,0.5735,0.0,0.0,0.0333,0.9028,0.0,0.5689,0.0,0.0,0.0,0.3755,0.0,0.0,0.0,0.268,0.3879,0.3558,0.0,0.0,4.13
1990-02-05,0.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2397,0.0,0.0,0.0,0.0,0.0,0.0,0.3281,0.1657,0.3891,0.0,0.0,0.6901,0.0,0.0165,0.0601,0.0,0.0,0.5983,0.0,0.01,0.0475,0.7759,0.0,0.6595,0.0,0.0,0.0,0.3516,0.0,0.0,0.0,0.2558,0.3696,0.3584,0.0,0.0,4.53
1990-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4407,0.0,0.0,0.2678,0.7872,0.0,0.0,0.0,0.0,0.3313,0.0,0.0,0.5777,0.0,0.0,0.0,0.0,0.0,0.6194,0.0,0.0212,0.0582,0.6493,0.0,0.7503,0.0026,0.0,0.0,0.3284,0.0,0.0,0.0,0.2436,0.3512,0.3609,0.0,0.0,4.72
